      2021-04-27 00:00:00, 29097
      2021-04-27 01:00:00, 16514
      2021-04-27 02:00:00, 10191
      2021-04-27 03:00:00, 19253
      2021-04-27 04:00:00, 17471
      2021-04-27 05:00:00, 18984
      2021-04-27 06:00:00, 26425
      2021-04-27 07:00:00, 38335
      2021-04-27 08:00:00, 56019
      2021-04-27 09:00:00, 76991
      2021-04-27 10:00:00, 90831
      2021-04-27 11:00:00, 88293
      2021-04-27 12:00:00, 87753
      2021-04-27 13:00:00, 105853
      2021-04-27 14:00:00, 98005
      2021-04-27 15:00:00, 109131
      2021-04-27 16:00:00, 77790
Alarm 2021-04-27 17:00:00, 117525
      2021-04-27 18:00:00, 109325
      2021-04-27 19:00:00, 92241
      2021-04-27 20:00:00, 78197
      2021-04-27 21:00:00, 62777
      2021-04-27 22:00:00, 52683
      2021-04-27 23:00:00, 43411
      2021-04-28 00:00:00, 38388
Alarm 2021-04-28 01:00:00, 32420
      2021-04-28 02:00:00, 17034
      2021-04-28 03:00:00, 14930
      2021-04-28 04:00:00, 17032
      2021-04-28 05:00:00, 20271
      2021-04-28 06:00:00, 26608
      2021-04-28 07:00:00, 38742
      2021-04-28 08:00:00, 59684
      2021-04-28 09:00:00, 79893
      2021-04-28 10:00:00, 86491
      2021-04-28 11:00:00, 103437
      2021-04-28 12:00:00, 100091
      2021-04-28 13:00:00, 82104
      2021-04-28 14:00:00, 84269
      2021-04-28 15:00:00, 93308
      2021-04-28 16:00:00, 98795
      2021-04-28 17:00:00, 110028
      2021-04-28 18:00:00, 105895
      2021-04-28 19:00:00, 96385
      2021-04-28 20:00:00, 85729
      2021-04-28 21:00:00, 68720
      2021-04-28 22:00:00, 58547
      2021-04-28 23:00:00, 54279
Alarm 2021-04-29 00:00:00, 49058
      2021-04-29 01:00:00, 27055
      2021-04-29 02:00:00, 16007
      2021-04-29 03:00:00, 23009
      2021-04-29 04:00:00, 21309
      2021-04-29 05:00:00, 21746
      2021-04-29 06:00:00, 28482
      2021-04-29 07:00:00, 38542
      2021-04-29 08:00:00, 56167
      2021-04-29 09:00:00, 76870
      2021-04-29 10:00:00, 87022
      2021-04-29 11:00:00, 90963
      2021-04-29 12:00:00, 84267
      2021-04-29 13:00:00, 85385
      2021-04-29 14:00:00, 85372
      2021-04-29 15:00:00, 90846
      2021-04-29 16:00:00, 104667
      2021-04-29 17:00:00, 109110
      2021-04-29 18:00:00, 100311
      2021-04-29 19:00:00, 93523
      2021-04-29 20:00:00, 78423
      2021-04-29 21:00:00, 64029
      2021-04-29 22:00:00, 56037
      2021-04-29 23:00:00, 53422
Alarm 2021-04-30 00:00:00, 49826
Alarm 2021-04-30 01:00:00, 37021
Alarm 2021-04-30 02:00:00, 26498
      2021-04-30 03:00:00, 15659
      2021-04-30 04:00:00, 16791
      2021-04-30 05:00:00, 16578
      2021-04-30 06:00:00, 23383
      2021-04-30 07:00:00, 34621
      2021-04-30 08:00:00, 50527
      2021-04-30 09:00:00, 68519
      2021-04-30 10:00:00, 88488
      2021-04-30 11:00:00, 96628
      2021-04-30 12:00:00, 102678
      2021-04-30 13:00:00, 99303
      2021-04-30 14:00:00, 92435
      2021-04-30 15:00:00, 96637
      2021-04-30 16:00:00, 101075
      2021-04-30 17:00:00, 101142
      2021-04-30 18:00:00, 95713
